"ensembl_gene_id"	"hgnc_symbol"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000164867"	"NOS3"	-0.165220700092706	2.87317929449981	1.02221302161321	0.557754106108624	0.999984409927665
"ENSG00000164877"	"MICALL2"	-0.0625730431121427	5.44865234368533	0.565492349331879	0.535158129729636	0.999984409927665
"ENSG00000164879"	"CA3"	0.0397091368015078	1.86753783119106	0.0652896508282602	0.933256645797395	0.999984409927665
"ENSG00000164880"	"INTS1"	-0.0553820484027869	6.85769986752925	0.474967288991569	0.497016341160776	0.999984409927665
"ENSG00000164885"	"CDK5"	-0.00138444912915194	4.82701552295414	0.000284271673105661	0.992222263137091	0.999984409927665
"ENSG00000164889"	"SLC4A2"	-0.000212149187131441	3.76004600202758	9.8667638191014e-07	0.999215280822094	0.999984409927665
"ENSG00000164896"	"FASTK"	-0.053174621923612	4.84817225804239	0.39979497998698	0.673350627076863	0.999984409927665
"ENSG00000164897"	"TMUB1"	-0.100011471764624	3.15978570649804	0.931950249237046	0.684990047917711	0.999984409927665
"ENSG00000164902"	"PHAX"	-0.0130223703417861	5.86174158698249	0.0856056594145449	0.887191419249792	0.999984409927665
"ENSG00000164904"	"ALDH7A1"	0.176293145876445	6.24846694583871	1.64295647605924	0.21160387746397	0.999984409927665
"ENSG00000164916"	"FOXK1"	-0.0367954761834932	7.36646769537179	0.453833117745276	0.506660862150192	0.999984409927665
"ENSG00000164919"	"COX6C"	-0.0212924610795762	6.69704324600775	0.0738518452606454	0.788025868843529	0.999984409927665
"ENSG00000164924"	"YWHAZ"	0.0474489180112961	9.68356466002074	0.310796355990227	0.582117219878793	0.999984409927665
"ENSG00000164929"	"BAALC"	0.00586677014877266	7.62418383376957	0.00573110846374541	0.940253127853337	0.999984409927665
"ENSG00000164930"	"FZD6"	-0.155499174224562	3.38137826044892	1.99098503131121	0.490811017140811	0.999984409927665
"ENSG00000164932"	"CTHRC1"	0.0990219716430344	1.56330062563454	0.202845894547109	0.867050302910563	0.999984409927665
"ENSG00000164933"	"SLC25A32"	0.0114109148510093	5.15192097987044	0.0262516579559399	0.917677999538826	0.999984409927665
"ENSG00000164934"	"DCAF13"	-0.0234778145079674	4.32020336161397	0.103314380975118	0.878480531375993	0.999984409927665
"ENSG00000164938"	"TP53INP1"	0.215550975589558	3.80755799761371	1.8368843228927	0.239483749366956	0.999984409927665
"ENSG00000164941"	"INTS8"	0.126649444291085	5.51336294158825	4.18188151238524	0.194445026194187	0.999984409927665
"ENSG00000164944"	"VIRMA"	0.0974782038259675	6.09517714413314	4.11736019872343	0.221282230353356	0.999984409927665
"ENSG00000164946"	"FREM1"	0.152015465567574	4.12580640940954	0.938987870863098	0.349681454022733	0.999984409927665
"ENSG00000164949"	"GEM"	-0.278207262583599	2.84369889620934	0.535561216250466	0.471038589163891	0.999984409927665
"ENSG00000164951"	"PDP1"	0.0114584899828804	8.20128332775932	0.0287421572575888	0.866731164265025	0.999984409927665
"ENSG00000164953"	"TMEM67"	-0.0158137142641726	4.91251867384399	0.0612976265807638	0.898378858890199	0.999984409927665
"ENSG00000164961"	"WASHC5"	0.00344534126134681	5.63961176867674	0.00118433616231033	0.972818379374948	0.999984409927665
"ENSG00000164967"	"RPP25L"	0.0287515748932654	2.64818094395777	0.0540736659266429	0.925446881784171	0.999984409927665
"ENSG00000164970"	"FAM219A"	-0.0847144752342353	6.8311151379431	2.112826874435	0.173758524776289	0.999984409927665
"ENSG00000164972"	"C9orf24"	0.0645443627883077	2.85413161615878	0.399077380356822	0.816364856864444	0.999984409927665
"ENSG00000164975"	"SNAPC3"	0.114079997760326	6.51243564027166	8.99889183007352	0.0954117317700544	0.999984409927665
"ENSG00000164976"	"MYORG"	-0.0743507631677278	5.82839336466761	0.127613264502971	0.72389790859406	0.999984409927665
"ENSG00000164978"	"NUDT2"	-0.131376026531397	3.23940510765905	1.83446122614513	0.582541578431089	0.999984409927665
"ENSG00000164983"	"TMEM65"	0.200002693072047	6.41343236963598	2.56935574313155	0.121430576646696	0.999984409927665
"ENSG00000164985"	"PSIP1"	0.0593698213298027	7.49207567431756	1.27991644179663	0.268580480309935	0.999984409927665
"ENSG00000164989"	"CCDC171"	0.029939589588056	5.15737095126209	0.19263607708884	0.786919488930113	0.999984409927665
"ENSG00000165006"	"UBAP1"	-0.0717702909272794	5.73335033903852	3.18696727125346	0.432293768031041	0.999984409927665
"ENSG00000165023"	"DIRAS2"	-0.128809551608902	8.50539081087856	0.385142903572457	0.540443663907353	0.999984409927665
"ENSG00000165025"	"SYK"	0.608562897646593	2.70488910882892	3.42383372754418	0.0760361033249502	0.999984409927665
"ENSG00000165028"	"NIPSNAP3B"	0.0981842233355159	3.39494724792928	1.21566125257483	0.653779010411346	0.999984409927665
"ENSG00000165029"	"ABCA1"	0.185208523971121	5.39853690126986	1.19692081144979	0.284299278566316	0.999984409927665
